Word,Folder
Santander,Finances
Scottish,Energy
ScottishPower,Energy
Trading 212,Finances
Amazon,Amazon
Moneybox,Finances
Raisin,Finances
RaisinUK,Finances
Midland Health,Insurance
robijns,Personal
Greenpeace,Greenpeace
Steam,Personal
